name,datetime,feelslike,precip,precip_type,snow,solar_radiation,conditions,temp_cat
istanbul,2021-01-01,12.6,3.867,rain,0,75.9,"Rain, Partially cloudy",moderate
istanbul,2021-01-02,10.5,0,unkwn,0,96.4,Clear,moderate
istanbul,2021-01-03,11,0,unkwn,0,69.4,Partially cloudy,moderate
istanbul,2021-01-04,12.9,0,unkwn,0,81,Partially cloudy,moderate
istanbul,2021-01-05,13.7,1.102,rain,0,92.7,"Rain, Partially cloudy",moderate
istanbul,2021-01-06,11.2,0.077,rain,0,87.4,"Rain, Partially cloudy",moderate
istanbul,2021-01-07,13.1,0,unkwn,0,85.8,Partially cloudy,moderate
istanbul,2021-01-08,14.9,0,unkwn,0,89.4,Partially cloudy,moderate
istanbul,2021-01-09,10.6,8.992,rain,0,18.2,"Rain, Partially cloudy",moderate
istanbul,2021-01-10,6.3,37.146,rain,0,10.6,"Rain, Overcast",moderate
istanbul,2021-01-11,12.7,2.994,rain,0,50.2,"Rain, Partially cloudy",moderate
istanbul,2021-01-12,12.6,6.43,rain,0,40.9,"Rain, Partially cloudy",moderate
istanbul,2021-01-13,5.3,28.631,rain,0,13.2,"Rain, Partially cloudy",moderate
istanbul,2021-01-14,2.9,1.43,rain,0,21.1,"Rain, Partially cloudy",cold
istanbul,2021-01-15,1.4,9.606,"rain,snow",0.4,39.9,"Snow, Rain, Partially cloudy",cold
istanbul,2021-01-16,-0.1,7.864,"rain,snow",0,38.6,"Snow, Rain, Partially cloudy",cold
istanbul,2021-01-17,-4.6,25.123,"rain,snow",4.3,28.9,"Snow, Rain, Partially cloudy",cold
istanbul,2021-01-18,-4,4.622,"rain,snow",0.7,79.6,"Snow, Rain, Partially cloudy",cold
istanbul,2021-01-19,-3.2,1.687,"rain,snow",0,68.3,"Snow, Rain, Partially cloudy",cold
istanbul,2021-01-20,-0.7,0,unkwn,0,94.7,Partially cloudy,cold
istanbul,2021-01-21,6,0,unkwn,0,107.4,Partially cloudy,moderate
istanbul,2021-01-22,11,0.031,rain,0,101.9,"Rain, Partially cloudy",moderate
istanbul,2021-01-23,12.4,0,unkwn,0,106.1,Partially cloudy,moderate
istanbul,2021-01-24,12.4,3.248,rain,0,84.3,"Rain, Partially cloudy",moderate
istanbul,2021-01-25,12.2,8.89,rain,0,43.4,"Rain, Partially cloudy",moderate
istanbul,2021-01-26,12.7,0.998,rain,0,54.7,"Rain, Partially cloudy",moderate
istanbul,2021-01-27,2.5,26.381,rain,0.5,12.9,"Rain, Partially cloudy",cold
istanbul,2021-01-28,0.5,9.945,"rain,snow",1,77.6,"Snow, Rain, Partially cloudy",cold
istanbul,2021-01-29,2.9,0,unkwn,0,128.1,Partially cloudy,cold
istanbul,2021-01-30,6.8,10.93,rain,0,38,"Rain, Partially cloudy",moderate
istanbul,2021-01-31,9.5,0.419,rain,0,138.5,"Rain, Partially cloudy",moderate
istanbul,2021-02-01,14.4,0,unkwn,0,110.7,Partially cloudy,moderate
istanbul,2021-02-02,13.1,5.182,rain,0,63.7,"Rain, Partially cloudy",moderate
istanbul,2021-02-03,12,0,unkwn,0,119.4,Partially cloudy,moderate
istanbul,2021-02-04,11.8,0.038,rain,0,132.1,Rain,moderate
istanbul,2021-02-05,11.4,0,unkwn,0,131.4,Partially cloudy,moderate
istanbul,2021-02-06,11.1,0,unkwn,0,130.7,Clear,moderate
istanbul,2021-02-07,11.1,0.038,rain,0,127.7,"Rain, Partially cloudy",moderate
istanbul,2021-02-08,16.8,0.077,rain,0,109.8,"Rain, Partially cloudy",pleasant
istanbul,2021-02-09,15.5,1.132,rain,0,122.9,"Rain, Partially cloudy",pleasant
istanbul,2021-02-10,13.8,4.827,rain,0,136.6,"Rain, Partially cloudy",moderate
istanbul,2021-02-11,14.5,0,unkwn,0,134.4,Partially cloudy,moderate
istanbul,2021-02-12,2.3,8.9,"rain,snow",0,21.1,"Snow, Rain, Partially cloudy",cold
istanbul,2021-02-13,-3.5,0,unkwn,0,115.4,Partially cloudy,cold
istanbul,2021-02-14,-5.6,17.86,"rain,snow",9.9,18.1,"Snow, Rain, Overcast",cold
istanbul,2021-02-15,-3.9,12.22,"rain,snow",3.4,59.1,"Snow, Rain, Partially cloudy",cold
istanbul,2021-02-16,-5.2,3.457,"rain,snow",5.2,122.9,"Snow, Rain, Partially cloudy",cold
istanbul,2021-02-17,-3,4.069,"rain,snow",2.2,100.6,"Snow, Rain, Partially cloudy",cold
istanbul,2021-02-18,0.8,1.543,rain,0,39.5,"Rain, Partially cloudy",cold
istanbul,2021-02-19,0.7,0.128,rain,0,59.7,"Rain, Partially cloudy",cold
istanbul,2021-02-20,0.5,0,unkwn,0,143.3,Partially cloudy,cold
istanbul,2021-02-21,2.3,0,unkwn,0,176,Partially cloudy,cold
istanbul,2021-02-22,3.7,0,unkwn,0,177.2,Clear,cold
istanbul,2021-02-23,6.2,0,unkwn,0,186.7,Clear,moderate
istanbul,2021-02-24,4.4,0,unkwn,0,33.1,Partially cloudy,cold
istanbul,2021-02-25,5.1,0.44,rain,0,99.6,"Rain, Partially cloudy",moderate
istanbul,2021-02-26,6.5,0,unkwn,0,159.2,Clear,moderate
istanbul,2021-02-27,7.8,0.024,rain,0,189.9,Rain,moderate
istanbul,2021-02-28,5,0.237,rain,0,106.9,"Rain, Partially cloudy",moderate
istanbul,2021-03-01,4.8,0.346,rain,0,163,"Rain, Partially cloudy",cold
istanbul,2021-03-02,2.6,7.03,rain,0,97.5,"Rain, Partially cloudy",cold
istanbul,2021-03-03,3.5,2.41,rain,0,101.5,"Rain, Partially cloudy",cold
istanbul,2021-03-04,5,0.024,rain,0,210.7,Rain,moderate
istanbul,2021-03-05,10.1,0,unkwn,0,203.1,Clear,moderate
istanbul,2021-03-06,8.3,4.213,rain,0,71.1,"Rain, Partially cloudy",moderate
istanbul,2021-03-07,1.7,10.91,rain,0,85.9,"Rain, Partially cloudy",cold
istanbul,2021-03-08,4.2,0,unkwn,0,204.2,Clear,cold
istanbul,2021-03-09,6.5,0,unkwn,0,191,Partially cloudy,moderate
istanbul,2021-03-10,6.5,0.029,rain,0,186.4,"Rain, Partially cloudy",moderate
istanbul,2021-03-11,2.7,8.198,rain,0,79.3,"Rain, Partially cloudy",cold
istanbul,2021-03-12,4.6,0,unkwn,0,192.1,Partially cloudy,cold
istanbul,2021-03-13,8.2,0,unkwn,0,201.3,Partially cloudy,moderate
istanbul,2021-03-14,10.5,0,unkwn,0,214.5,Clear,moderate
istanbul,2021-03-15,12.6,0,unkwn,0,186,Partially cloudy,moderate
istanbul,2021-03-16,9.5,5.221,rain,0,192.7,"Rain, Partially cloudy",moderate
istanbul,2021-03-17,5,3.785,rain,0,63.7,"Rain, Partially cloudy",moderate
istanbul,2021-03-18,5.5,3.781,rain,0,58.8,"Rain, Partially cloudy",moderate
istanbul,2021-03-19,5.8,3.06,rain,0,78.4,"Rain, Partially cloudy",moderate
istanbul,2021-03-20,5.3,4.662,rain,0,95.5,"Rain, Partially cloudy",moderate
istanbul,2021-03-21,2.6,15.084,rain,0,21,"Rain, Partially cloudy",cold
istanbul,2021-03-22,6.4,9.894,rain,0,127.2,"Rain, Partially cloudy",moderate
istanbul,2021-03-23,1.8,21.978,rain,0,25.5,"Rain, Partially cloudy",cold
istanbul,2021-03-24,0.6,5.289,rain,0,69.9,"Rain, Partially cloudy",cold
istanbul,2021-03-25,0.9,0.348,rain,0,70.2,"Rain, Partially cloudy",cold
istanbul,2021-03-26,4.2,0.649,rain,0,74.2,"Rain, Partially cloudy",cold
istanbul,2021-03-27,8.3,0,unkwn,0,228.8,Partially cloudy,moderate
istanbul,2021-03-28,9.6,0,unkwn,0,250.4,Clear,moderate
istanbul,2021-03-29,8.7,0.081,rain,0,199.7,"Rain, Partially cloudy",moderate
istanbul,2021-03-30,4.5,4.567,rain,0,175.5,"Rain, Partially cloudy",cold
istanbul,2021-03-31,4.3,0.332,rain,0,118.2,"Rain, Partially cloudy",cold
istanbul,2021-04-01,4.6,0.03,rain,0,108.8,"Rain, Partially cloudy",cold
istanbul,2021-04-02,9.2,0,unkwn,0,245.4,Partially cloudy,moderate
istanbul,2021-04-03,14.7,0.222,rain,0,220.8,"Rain, Partially cloudy",moderate
istanbul,2021-04-04,10.9,0.497,rain,0,118.2,"Rain, Partially cloudy",moderate
istanbul,2021-04-05,5.9,16.443,rain,0,39.8,"Rain, Partially cloudy",moderate
istanbul,2021-04-06,11.8,1.447,rain,0,216.7,"Rain, Partially cloudy",moderate
istanbul,2021-04-07,14.9,0,unkwn,0,244.9,Partially cloudy,moderate
istanbul,2021-04-08,2.6,15.613,rain,0,32.7,"Rain, Partially cloudy",cold
istanbul,2021-04-09,4.4,6.637,rain,0,208.1,"Rain, Partially cloudy",cold
istanbul,2021-04-10,5.3,0,unkwn,0,251.1,Partially cloudy,moderate
istanbul,2021-04-11,6.5,0.024,rain,0,216.7,"Rain, Partially cloudy",moderate
istanbul,2021-04-12,10.2,0.01,rain,0,244,"Rain, Partially cloudy",moderate
istanbul,2021-04-13,12.2,0,unkwn,0,277,Partially cloudy,moderate
istanbul,2021-04-14,15.2,1.181,rain,0,255.8,"Rain, Partially cloudy",pleasant
istanbul,2021-04-15,10.6,0.492,rain,0,220.8,"Rain, Partially cloudy",moderate
istanbul,2021-04-16,9.8,0.37,rain,0,193.8,"Rain, Partially cloudy",moderate
istanbul,2021-04-17,9.9,0.869,rain,0,175.7,"Rain, Partially cloudy",moderate
istanbul,2021-04-18,9.7,0,unkwn,0,190,Partially cloudy,moderate
istanbul,2021-04-19,10.6,2.065,rain,0,43.4,"Rain, Partially cloudy",moderate
istanbul,2021-04-20,12.4,0.013,rain,0,238.5,"Rain, Partially cloudy",moderate
istanbul,2021-04-21,12.9,0,unkwn,0,271.3,Partially cloudy,moderate
istanbul,2021-04-22,14.1,0.011,rain,0,262,Rain,moderate
istanbul,2021-04-23,15.8,0,unkwn,0,217.6,Partially cloudy,pleasant
istanbul,2021-04-24,13.2,0.525,rain,0,136.5,"Rain, Partially cloudy",moderate
